account_id,customer_id,account_type,account_status,current_balance,available_balance,opened_date
ACC0000026,CUST000147,SAVINGS,ACTIVE,2992.81,2992.81,2021-02-03
ACC0000027,CUST000433,SAVINGS,ACTIVE,244295.4,229245.78,2020-09-04
ACC0000028,CUST000311,CHECKING,ACTIVE,203900.75,203900.75,2017-07-11
ACC0000029,CUST000097,CHECKING,ACTIVE,220507.09,220507.09,2018-04-19
ACC0000030,CUST000249,SAVINGS,ACTIVE,202604.48,202604.48,2025-10-07
ACC0000031,CUST000256,CHECKING,ACTIVE,85782.73,85782.73,2022-11-18
ACC0000032,CUST000358,SAVINGS,ACTIVE,89863.5,83306.59,2017-02-09
ACC0000033,CUST000094,SAVINGS,ACTIVE,199100.76,189678.14,2021-08-12
ACC0000034,CUST000486,CHECKING,ACTIVE,60357.59,60357.59,2025-01-07
ACC0000035,CUST000353,CHECKING,ACTIVE,197282.78,197282.78,2020-11-17
ACC0000036,CUST000427,CHECKING,DORMANT,97415.64,97415.64,2020-09-14
ACC0000037,CUST000158,SAVINGS,ACTIVE,90977.26,89095.6,2020-02-01
ACC0000038,CUST000295,SAVINGS,ACTIVE,173443.52,159806.1,2020-03-08
ACC0000039,CUST000005,SAVINGS,ACTIVE,117961.46,117961.46,2025-08-18
ACC0000040,CUST000230,CHECKING,ACTIVE,72167.38,72167.38,2020-05-21
ACC0000041,CUST000184,CHECKING,ACTIVE,106855.56,106855.56,2022-10-10
ACC0000042,CUST000095,CHECKING,ACTIVE,230465.17,230465.17,2024-03-09
ACC0000043,CUST000031,CHECKING,ACTIVE,81625.07,79619.8,2025-07-20
ACC0000044,CUST000315,CHECKING,ACTIVE,55148.45,55148.45,2017-10-19
ACC0000045,CUST000156,CHECKING,ACTIVE,99552.01,99552.01,2016-09-08
ACC0000046,CUST000133,SAVINGS,ACTIVE,125695.75,125695.75,2024-05-24
ACC0000047,CUST000252,SAVINGS,FROZEN,197921.93,197921.93,2018-07-28
ACC0000048,CUST000191,CHECKING,ACTIVE,212509.9,184303.02,2019-05-08
ACC0000049,CUST000268,CHECKING,ACTIVE,208285.23,208285.23,2019-12-31
ACC0000050,CUST000228,CHECKING,ACTIVE,45046.92,45046.92,2025-02-08
ACC0000051,CUST000119,SAVINGS,ACTIVE,5441.42,4546.29,2026-05-12
ACC0000052,CUST000045,CHECKING,ACTIVE,60830.48,56377.53,2020-08-14
ACC0000053,CUST000020,CHECKING,ACTIVE,149998.23,130328.75,2019-02-13
ACC0000054,CUST000415,CHECKING,ACTIVE,26164.74,23258.71,2020-01-01
ACC0000055,CUST000279,CHECKING,ACTIVE,80538.95,75981.24,2018-04-14
ACC0000056,CUST000011,SAVINGS,ACTIVE,22580.35,22580.35,2017-01-05
ACC0000057,CUST000231,SAVINGS,ACTIVE,236326.58,236326.58,2019-04-06
ACC0000058,CUST000042,SAVINGS,ACTIVE,99725.05,99725.05,2018-03-10
ACC0000059,CUST000185,SAVINGS,ACTIVE,54493.16,54493.16,2025-04-03
ACC0000060,CUST000459,CHECKING,ACTIVE,124193.92,124193.92,2021-08-18
ACC0000061,CUST000133,SAVINGS,ACTIVE,119988.49,119988.49,2025-05-05
ACC0000062,CUST000408,SAVINGS,ACTIVE,242304.32,242304.32,2021-01-30
ACC0000063,CUST000400,SAVINGS,DORMANT,183234.07,154757.74,2026-02-02
ACC0000064,CUST000149,CHECKING,ACTIVE,5637.35,5637.35,2016-11-08
ACC0000065,CUST000472,SAVINGS,ACTIVE,156153.81,146159.77,2023-06-15
ACC0000066,CUST000156,CHECKING,ACTIVE,226596.44,226596.44,2020-11-10
ACC0000067,CUST000457,CHECKING,ACTIVE,218478.85,218478.85,2018-02-14
ACC0000068,CUST000015,CHECKING,ACTIVE,84401.69,84401.69,2024-07-21
ACC0000069,CUST000479,CHECKING,ACTIVE,143551.15,143551.15,2023-02-16
ACC0000070,CUST000270,SAVINGS,ACTIVE,136290.26,136290.26,2025-09-17
ACC0000071,CUST000421,CHECKING,ACTIVE,93124.59,93124.59,2021-02-02
ACC0000072,CUST000066,SAVINGS,ACTIVE,148032.26,148032.26,2022-08-01
ACC0000073,CUST000305,SAVINGS,ACTIVE,68285.75,62894.22,2018-08-31
ACC0000074,CUST000460,CHECKING,DORMANT,145313.42,145313.42,2022-09-15
ACC0000075,CUST000361,CHECKING,ACTIVE,23548.69,20973.15,2023-02-28
ACC0000076,CUST000283,SAVINGS,DORMANT,131279.68,124931.59,2023-12-02
ACC0000077,CUST000455,CHECKING,ACTIVE,157546.32,147488.68,2025-03-18
ACC0000078,CUST000194,CHECKING,ACTIVE,219326.52,219326.52,2022-10-25
ACC0000079,CUST000380,SAVINGS,FROZEN,53153.71,53153.71,2025-10-31
ACC0000080,CUST000122,CHECKING,FROZEN,8525.1,8525.1,2018-09-06
ACC0000081,CUST000042,CHECKING,ACTIVE,182935.38,182935.38,2023-05-24
ACC0000082,CUST000168,SAVINGS,ACTIVE,202086.58,202086.58,2017-01-25
ACC0000083,CUST000337,SAVINGS,CLOSED,138539.52,138539.52,2025-06-13
ACC0000084,CUST000314,SAVINGS,ACTIVE,109116.42,109116.42,2016-08-11
ACC0000085,CUST000107,CHECKING,ACTIVE,22447.31,22447.31,2024-04-11
ACC0000086,CUST000380,CHECKING,DORMANT,107731.08,107731.08,2018-02-18
ACC0000087,CUST000284,SAVINGS,ACTIVE,41474.62,41474.62,2024-07-28
ACC0000088,CUST000061,SAVINGS,ACTIVE,120025.58,120025.58,2017-02-13
ACC0000089,CUST000287,SAVINGS,ACTIVE,11917.63,11917.63,2017-06-24
ACC0000090,CUST000375,SAVINGS,ACTIVE,224770.44,214570.24,2020-07-14
ACC0000091,CUST000455,SAVINGS,FROZEN,212023.55,212023.55,2022-06-16
ACC0000092,CUST000488,SAVINGS,ACTIVE,160053.45,148133.84,2017-02-17
ACC0000093,CUST000283,SAVINGS,ACTIVE,4012.08,4012.08,2020-02-11
ACC0000094,CUST000265,CHECKING,ACTIVE,76036.9,76036.9,2024-01-24
ACC0000095,CUST000078,SAVINGS,ACTIVE,99529.49,99529.49,2025-06-19
ACC0000096,CUST000487,CHECKING,ACTIVE,44404.74,44404.74,2023-01-07
ACC0000097,CUST000265,CHECKING,ACTIVE,66475.1,66475.1,2026-02-12
ACC0000098,CUST000417,SAVINGS,ACTIVE,87994.48,87994.48,2018-09-26
ACC0000099,CUST000340,SAVINGS,ACTIVE,146521.82,146521.82,2017-07-25
ACC0000100,CUST000458,CHECKING,ACTIVE,242599.9,242599.9,2019-09-06
ACC0000101,CUST000424,SAVINGS,ACTIVE,152925.96,152925.96,2025-08-04
ACC0000102,CUST000313,CHECKING,ACTIVE,124193.94,124193.94,2017-04-26
ACC0000103,CUST000018,SAVINGS,FROZEN,94082.49,80819.6,2023-07-14
ACC0000104,CUST000032,SAVINGS,ACTIVE,107465.55,107465.55,2024-04-16
ACC0000105,CUST000427,CHECKING,ACTIVE,232910.06,223789.13,2018-02-14
ACC0000106,CUST000200,CHECKING,ACTIVE,193116.87,193116.87,2023-11-18
ACC0000107,CUST000391,CHECKING,ACTIVE,19745.0,16192.04,2021-05-11
ACC0000108,CUST000458,CHECKING,ACTIVE,183625.02,183625.02,2023-11-26
ACC0000109,CUST000157,SAVINGS,ACTIVE,78005.82,78005.82,2023-12-10
ACC0000110,CUST000489,SAVINGS,ACTIVE,178723.75,178723.75,2023-11-09
ACC0000111,CUST000241,CHECKING,ACTIVE,194488.38,194488.38,2024-05-12
ACC0000112,CUST000162,CHECKING,ACTIVE,146203.36,117849.58,2026-04-10
ACC0000113,CUST000261,SAVINGS,ACTIVE,125500.06,125500.06,2023-02-04
ACC0000114,CUST000418,CHECKING,CLOSED,152158.29,152158.29,2022-07-16
ACC0000115,CUST000311,CHECKING,ACTIVE,90932.83,90932.83,2026-05-15
ACC0000116,CUST000257,SAVINGS,ACTIVE,169949.7,169949.7,2022-03-09
ACC0000117,CUST000262,SAVINGS,DORMANT,108116.91,108116.91,2018-04-10
ACC0000118,CUST000295,CHECKING,ACTIVE,180619.66,159568.74,2024-07-20
ACC0000119,CUST000322,CHECKING,ACTIVE,75694.09,75694.09,2020-10-15
ACC0000120,CUST000349,CHECKING,ACTIVE,219238.63,219238.63,2024-09-24
ACC0000121,CUST000391,SAVINGS,DORMANT,121698.6,121698.6,2025-12-16
ACC0000122,CUST000291,CHECKING,ACTIVE,3761.25,3761.25,2017-01-30
ACC0000123,CUST000321,CHECKING,DORMANT,70184.71,70184.71,2016-10-06
ACC0000124,CUST000494,SAVINGS,ACTIVE,145644.63,145644.63,2018-10-14
ACC0000125,CUST000195,CHECKING,ACTIVE,248825.82,223295.2,2020-01-02
ACC0000126,CUST000063,CHECKING,ACTIVE,219176.8,219176.8,2021-05-05
ACC0000127,CUST000014,CHECKING,ACTIVE,215359.3,215359.3,2024-09-06
ACC0000128,CUST000266,SAVINGS,ACTIVE,13866.86,13866.86,2021-10-28
ACC0000129,CUST000454,CHECKING,ACTIVE,201181.25,201181.25,2019-01-10
ACC0000130,CUST000429,SAVINGS,ACTIVE,136407.63,136407.63,2019-11-02
ACC0000131,CUST000359,SAVINGS,FROZEN,57303.36,54139.59,2023-02-22
ACC0000132,CUST000181,CHECKING,ACTIVE,24672.27,24040.43,2023-02-11
ACC0000133,CUST000301,CHECKING,ACTIVE,244067.72,201445.62,2021-06-11
ACC0000134,CUST000097,SAVINGS,ACTIVE,92142.35,92142.35,2023-04-05
ACC0000135,CUST000168,SAVINGS,ACTIVE,142059.87,142059.87,2019-12-11
ACC0000136,CUST000012,SAVINGS,ACTIVE,7846.83,7846.83,2017-04-15
ACC0000137,CUST000002,CHECKING,ACTIVE,164449.59,164449.59,2025-10-18
ACC0000138,CUST000228,CHECKING,ACTIVE,192166.63,192166.63,2016-07-31
ACC0000139,CUST000131,SAVINGS,ACTIVE,234115.83,234115.83,2025-08-10
ACC0000140,CUST000266,CHECKING,ACTIVE,169048.79,169048.79,2025-07-28
ACC0000141,CUST000165,SAVINGS,ACTIVE,73716.6,73716.6,2024-10-28
ACC0000142,CUST000174,SAVINGS,ACTIVE,171637.07,171637.07,2019-06-23
ACC0000143,CUST000376,SAVINGS,FROZEN,152396.25,152396.25,2023-01-04
ACC0000144,CUST000391,CHECKING,DORMANT,8904.22,8904.22,2017-01-18
ACC0000145,CUST000051,SAVINGS,ACTIVE,122652.57,122652.57,2025-04-21
ACC0000146,CUST000411,CHECKING,ACTIVE,75853.26,61457.2,2018-03-16
ACC0000147,CUST000375,SAVINGS,ACTIVE,184098.34,184098.34,2022-05-01
ACC0000148,CUST000414,CHECKING,ACTIVE,110214.66,110214.66,2021-07-22
ACC0000149,CUST000210,SAVINGS,ACTIVE,197114.05,182113.73,2025-08-15
ACC0000150,CUST000009,CHECKING,ACTIVE,65674.48,56699.82,2023-01-13
ACC0000151,CUST000277,SAVINGS,ACTIVE,82823.42,82823.42,2023-05-21
ACC0000152,CUST000349,CHECKING,ACTIVE,206468.27,206468.27,2021-04-27
ACC0000153,CUST000383,SAVINGS,DORMANT,91300.12,82246.88,2025-07-31
ACC0000154,CUST000158,SAVINGS,CLOSED,121384.62,107343.53,2023-04-09
ACC0000155,CUST000046,CHECKING,ACTIVE,2412.64,2412.64,2021-04-12
ACC0000156,CUST000025,CHECKING,ACTIVE,223605.29,184331.72,2018-09-14
ACC0000157,CUST000072,SAVINGS,ACTIVE,66598.3,66598.3,2022-06-02
ACC0000158,CUST000328,CHECKING,ACTIVE,189826.6,179668.55,2020-03-09
ACC0000159,CUST000342,SAVINGS,ACTIVE,50153.53,50153.53,2022-10-16
ACC0000160,CUST000053,SAVINGS,CLOSED,195463.17,195463.17,2017-06-30
ACC0000161,CUST000365,CHECKING,FROZEN,236706.48,236706.48,2018-08-21
ACC0000162,CUST000450,CHECKING,ACTIVE,50162.31,50162.31,2020-03-21
ACC0000163,CUST000164,SAVINGS,ACTIVE,115509.97,115509.97,2018-01-31
ACC0000164,CUST000011,SAVINGS,FROZEN,222809.5,222809.5,2020-04-21
ACC0000165,CUST000213,SAVINGS,DORMANT,175210.57,157160.74,2022-07-23
ACC0000166,CUST000371,CHECKING,ACTIVE,87115.14,87115.14,2017-09-11
ACC0000167,CUST000388,CHECKING,ACTIVE,214113.14,212277.95,2023-05-21
ACC0000168,CUST000372,CHECKING,ACTIVE,203889.46,203889.46,2023-09-26
ACC0000169,CUST000231,SAVINGS,ACTIVE,71126.82,71126.82,2018-02-10
ACC0000170,CUST000304,SAVINGS,ACTIVE,41790.33,39220.08,2025-12-11
ACC0000171,CUST000105,CHECKING,ACTIVE,61581.03,60076.01,2017-05-23
ACC0000172,CUST000169,SAVINGS,ACTIVE,21195.23,21195.23,2024-01-22
ACC0000173,CUST000254,SAVINGS,ACTIVE,143500.03,143500.03,2018-01-11
ACC0000174,CUST000331,SAVINGS,ACTIVE,135995.15,135995.15,2020-10-07
ACC0000175,CUST000186,CHECKING,ACTIVE,144708.23,144708.23,2020-03-01
ACC0000176,CUST000273,SAVINGS,ACTIVE,65389.89,65389.89,2019-11-14
ACC0000177,CUST000024,CHECKING,ACTIVE,168578.83,148505.96,2022-05-07
ACC0000178,CUST000372,CHECKING,ACTIVE,144522.65,144522.65,2021-05-05
ACC0000179,CUST000452,CHECKING,ACTIVE,170786.3,170786.3,2016-11-28
ACC0000180,CUST000435,CHECKING,ACTIVE,73963.67,61254.83,2017-12-27
ACC0000181,CUST000096,CHECKING,ACTIVE,145024.63,141665.32,2018-10-01
ACC0000182,CUST000214,SAVINGS,ACTIVE,164957.64,164957.64,2023-05-25
ACC0000183,CUST000196,CHECKING,ACTIVE,218793.32,218793.32,2018-01-25
ACC0000184,CUST000457,CHECKING,ACTIVE,79113.52,79113.52,2019-06-30
ACC0000185,CUST000233,CHECKING,ACTIVE,233020.15,233020.15,2020-08-07
ACC0000186,CUST000342,CHECKING,DORMANT,243018.68,243018.68,2020-07-08
ACC0000187,CUST000057,CHECKING,ACTIVE,179821.85,179821.85,2022-03-13
ACC0000188,CUST000331,CHECKING,ACTIVE,224738.58,224738.58,2026-04-11
ACC0000189,CUST000094,CHECKING,ACTIVE,229171.99,229171.99,2018-03-28
ACC0000190,CUST000378,SAVINGS,DORMANT,220087.16,202940.32,2025-02-18
ACC0000191,CUST000075,CHECKING,ACTIVE,138468.74,138468.74,2018-05-18
ACC0000192,CUST000328,SAVINGS,ACTIVE,112725.9,112725.9,2024-08-23
ACC0000193,CUST000172,SAVINGS,ACTIVE,94515.01,94515.01,2018-07-02
ACC0000194,CUST000343,CHECKING,ACTIVE,244470.69,244470.69,2021-10-31
ACC0000195,CUST000349,SAVINGS,ACTIVE,238664.57,209118.05,2021-11-26
ACC0000196,CUST000162,CHECKING,FROZEN,80128.31,76361.47,2021-03-04
ACC0000197,CUST000436,SAVINGS,CLOSED,138007.47,138007.47,2020-04-11
ACC0000198,CUST000396,SAVINGS,ACTIVE,235061.92,235061.92,2023-02-21
ACC0000199,CUST000175,CHECKING,ACTIVE,29984.43,28450.05,2025-09-28
ACC0000200,CUST000332,CHECKING,ACTIVE,152132.48,152132.48,2024-08-30
ACC0000201,CUST000418,CHECKING,DORMANT,96783.9,96783.9,2022-05-12
ACC0000202,CUST000018,SAVINGS,ACTIVE,195692.55,195692.55,2023-02-13
ACC0000203,CUST000069,SAVINGS,ACTIVE,66192.07,61210.48,2025-06-18
ACC0000204,CUST000240,SAVINGS,ACTIVE,62742.53,62742.53,2020-05-17
ACC0000205,CUST000076,SAVINGS,ACTIVE,74082.39,74082.39,2019-10-14
ACC0000206,CUST000349,SAVINGS,ACTIVE,234739.22,234739.22,2019-01-20
ACC0000207,CUST000212,SAVINGS,ACTIVE,29730.65,29730.65,2022-01-09
ACC0000208,CUST000414,CHECKING,DORMANT,55802.6,52687.89,2023-05-22
ACC0000209,CUST000075,SAVINGS,ACTIVE,166577.08,153820.85,2016-11-07
ACC0000210,CUST000390,CHECKING,ACTIVE,212499.72,212499.72,2022-07-10
ACC0000211,CUST000283,SAVINGS,ACTIVE,49233.37,49233.37,2016-10-04
ACC0000212,CUST000104,SAVINGS,ACTIVE,6986.43,6986.43,2021-01-26
ACC0000213,CUST000494,SAVINGS,ACTIVE,11887.24,9848.69,2020-07-18
ACC0000214,CUST000099,SAVINGS,ACTIVE,28318.23,27760.92,2025-09-12
ACC0000215,CUST000463,CHECKING,ACTIVE,45394.36,45394.36,2017-04-19
ACC0000216,CUST000297,CHECKING,FROZEN,210208.69,199595.64,2017-08-03
ACC0000217,CUST000016,SAVINGS,FROZEN,130251.24,130251.24,2019-06-28
ACC0000218,CUST000253,SAVINGS,ACTIVE,82801.51,82801.51,2021-08-10
ACC0000219,CUST000303,SAVINGS,FROZEN,186892.0,186892.0,2024-02-03
ACC0000220,CUST000373,SAVINGS,ACTIVE,116066.49,116066.49,2021-07-04
ACC0000221,CUST000475,SAVINGS,ACTIVE,1061.41,1061.41,2026-02-09
ACC0000222,CUST000275,SAVINGS,DORMANT,38865.59,38865.59,2019-01-07
ACC0000223,CUST000141,CHECKING,CLOSED,4042.23,4042.23,2023-03-31
ACC0000224,CUST000427,SAVINGS,ACTIVE,194811.28,194811.28,2016-08-16
ACC0000225,CUST000189,CHECKING,DORMANT,113122.62,113122.62,2025-09-20
ACC0000226,CUST000188,CHECKING,ACTIVE,161679.65,155721.75,2020-10-31
ACC0000227,CUST000296,SAVINGS,ACTIVE,61475.3,61475.3,2017-05-03
ACC0000228,CUST000372,SAVINGS,FROZEN,136118.41,136118.41,2017-10-23
ACC0000229,CUST000394,CHECKING,ACTIVE,100648.12,100648.12,2024-06-17
ACC0000230,CUST000082,SAVINGS,ACTIVE,83094.77,83094.77,2022-02-08
ACC0000231,CUST000355,CHECKING,ACTIVE,158261.44,158261.44,2026-03-13
ACC0000232,CUST000392,CHECKING,ACTIVE,32911.53,32911.53,2022-12-21
ACC0000233,CUST000180,SAVINGS,ACTIVE,11611.32,11611.32,2024-10-19
ACC0000234,CUST000219,CHECKING,ACTIVE,216370.28,216370.28,2025-12-19
ACC0000235,CUST000236,CHECKING,FROZEN,222761.5,215452.14,2019-07-31
ACC0000236,CUST000169,SAVINGS,ACTIVE,65493.9,54371.94,2021-04-19
ACC0000237,CUST000206,SAVINGS,ACTIVE,243732.45,243732.45,2018-07-13
ACC0000238,CUST000278,SAVINGS,ACTIVE,228400.34,228400.34,2022-07-31
ACC0000239,CUST000070,CHECKING,ACTIVE,55043.65,55043.65,2021-01-15
ACC0000240,CUST000222,SAVINGS,ACTIVE,45757.58,45757.58,2024-04-18
ACC0000241,CUST000258,CHECKING,ACTIVE,227528.02,227528.02,2021-02-04
ACC0000242,CUST000139,CHECKING,ACTIVE,10491.35,10491.35,2018-10-14
ACC0000243,CUST000223,SAVINGS,ACTIVE,82419.9,82419.9,2024-03-10
ACC0000244,CUST000346,SAVINGS,ACTIVE,245138.4,245138.4,2017-01-10
ACC0000245,CUST000318,SAVINGS,ACTIVE,241901.44,241901.44,2022-06-16
ACC0000246,CUST000295,SAVINGS,ACTIVE,127055.93,127055.93,2022-10-03
ACC0000247,CUST000120,SAVINGS,ACTIVE,39524.88,39524.88,2022-05-27
ACC0000248,CUST000479,SAVINGS,ACTIVE,41154.82,41154.82,2024-02-25
ACC0000249,CUST000465,SAVINGS,DORMANT,93788.79,90463.58,2018-07-09
ACC0000250,CUST000399,CHECKING,ACTIVE,142828.82,138339.34,2018-11-08
ACC0000251,CUST000413,SAVINGS,ACTIVE,218080.52,218080.52,2025-01-26
ACC0000252,CUST000317,CHECKING,ACTIVE,143545.75,143545.75,2022-07-11
ACC0000253,CUST000140,CHECKING,ACTIVE,157290.49,157290.49,2026-01-10
ACC0000254,CUST000100,SAVINGS,ACTIVE,152417.59,152417.59,2025-08-30
ACC0000255,CUST000082,SAVINGS,ACTIVE,122379.57,122379.57,2018-03-23
ACC0000256,CUST000469,SAVINGS,FROZEN,223554.3,223554.3,2022-11-30
ACC0000257,CUST000477,CHECKING,ACTIVE,14468.29,14468.29,2020-06-15
ACC0000258,CUST000422,CHECKING,ACTIVE,153896.12,151802.66,2025-05-14
ACC0000259,CUST000476,SAVINGS,ACTIVE,77841.95,72379.58,2023-07-25
ACC0000260,CUST000019,SAVINGS,ACTIVE,129787.03,113180.77,2024-09-24
ACC0000261,CUST000122,CHECKING,ACTIVE,110941.37,103175.88,2024-12-09
ACC0000262,CUST000475,CHECKING,ACTIVE,75445.1,75445.1,2023-04-13
ACC0000263,CUST000001,CHECKING,ACTIVE,72885.51,64484.82,2020-02-25
ACC0000264,CUST000051,CHECKING,ACTIVE,172150.49,166715.78,2018-09-17
ACC0000265,CUST000033,SAVINGS,ACTIVE,187696.79,156725.22,2025-07-21
ACC0000266,CUST000168,SAVINGS,ACTIVE,41009.42,41009.42,2021-09-01
ACC0000267,CUST000300,CHECKING,DORMANT,236224.19,236224.19,2018-06-05
ACC0000268,CUST000191,SAVINGS,ACTIVE,126870.75,126870.75,2025-10-21
ACC0000269,CUST000348,SAVINGS,ACTIVE,223567.76,223567.76,2025-07-20
ACC0000270,CUST000099,CHECKING,ACTIVE,6032.77,6032.77,2019-12-12
ACC0000271,CUST000080,SAVINGS,DORMANT,15323.68,15323.68,2019-12-07
ACC0000272,CUST000106,SAVINGS,DORMANT,167038.44,167038.44,2021-02-24
ACC0000273,CUST000479,SAVINGS,ACTIVE,137203.82,137203.82,2021-05-21
ACC0000274,CUST000362,CHECKING,DORMANT,149224.47,149224.47,2024-07-13
ACC0000275,CUST000395,CHECKING,ACTIVE,92364.41,91357.24,2019-04-20
ACC0000276,CUST000469,CHECKING,CLOSED,52105.81,52105.81,2025-11-15
ACC0000277,CUST000121,SAVINGS,ACTIVE,67331.39,64788.03,2021-12-07
ACC0000278,CUST000188,SAVINGS,ACTIVE,107158.92,101700.9,2023-01-17
ACC0000279,CUST000077,CHECKING,DORMANT,85080.51,85080.51,2019-06-10
ACC0000280,CUST000411,CHECKING,ACTIVE,5013.56,4182.07,2017-06-09
ACC0000281,CUST000220,CHECKING,CLOSED,193965.9,193965.9,2021-04-30
ACC0000282,CUST000016,SAVINGS,ACTIVE,152823.17,139756.61,2022-05-23
ACC0000283,CUST000487,SAVINGS,DORMANT,177753.51,168946.91,2023-01-19
ACC0000284,CUST000376,SAVINGS,ACTIVE,63241.14,63241.14,2017-01-10
ACC0000285,CUST000428,SAVINGS,ACTIVE,99163.98,99163.98,2022-10-03
ACC0000286,CUST000404,SAVINGS,ACTIVE,232801.23,213880.13,2024-06-02
ACC0000287,CUST000355,CHECKING,ACTIVE,84019.52,84019.52,2025-05-01
ACC0000288,CUST000189,CHECKING,ACTIVE,130132.66,107367.93,2022-02-23
ACC0000289,CUST000229,SAVINGS,ACTIVE,185176.2,185176.2,2023-11-23
ACC0000290,CUST000195,CHECKING,ACTIVE,212770.26,212770.26,2020-12-29
ACC0000291,CUST000042,CHECKING,ACTIVE,33649.35,33649.35,2019-04-27
ACC0000292,CUST000283,CHECKING,ACTIVE,87966.55,87966.55,2023-08-07
ACC0000293,CUST000264,SAVINGS,ACTIVE,4088.13,3314.29,2021-09-24
ACC0000294,CUST000416,SAVINGS,ACTIVE,66696.74,59688.3,2017-03-20
ACC0000295,CUST000409,SAVINGS,ACTIVE,242498.94,227412.19,2021-08-04
ACC0000296,CUST000131,CHECKING,ACTIVE,28787.57,28787.57,2021-02-27
ACC0000297,CUST000279,SAVINGS,ACTIVE,24219.66,21742.02,2018-06-02
ACC0000298,CUST000435,CHECKING,ACTIVE,91046.1,82036.42,2025-04-23
ACC0000299,CUST000107,SAVINGS,ACTIVE,126288.16,126288.16,2021-11-04
ACC0000300,CUST000137,SAVINGS,ACTIVE,138976.48,138976.48,2018-04-08
ACC0000301,CUST000239,SAVINGS,ACTIVE,216471.81,196566.9,2023-02-04
ACC0000302,CUST000499,CHECKING,ACTIVE,33161.28,33161.28,2023-01-04
ACC0000303,CUST000144,CHECKING,ACTIVE,25292.12,20318.89,2018-06-15
ACC0000304,CUST000332,CHECKING,ACTIVE,148197.34,148197.34,2018-02-26
ACC0000305,CUST000187,SAVINGS,ACTIVE,192465.87,192465.87,2023-10-01
ACC0000306,CUST000130,SAVINGS,ACTIVE,163224.22,163224.22,2017-09-02
ACC0000307,CUST000085,CHECKING,ACTIVE,165446.06,165446.06,2018-05-25
ACC0000308,CUST000312,SAVINGS,ACTIVE,217027.16,196107.5,2021-10-05
ACC0000309,CUST000200,SAVINGS,ACTIVE,1898.98,1898.98,2024-05-13
ACC0000310,CUST000231,CHECKING,ACTIVE,216854.62,198257.54,2020-10-24
ACC0000311,CUST000049,SAVINGS,ACTIVE,44780.32,44759.93,2023-10-13
ACC0000312,CUST000086,SAVINGS,ACTIVE,170113.04,170113.04,2017-09-20
ACC0000313,CUST000490,CHECKING,ACTIVE,111191.88,111191.88,2020-10-03
ACC0000314,CUST000205,CHECKING,ACTIVE,161202.54,161202.54,2022-11-22
ACC0000315,CUST000098,CHECKING,ACTIVE,218118.5,218118.5,2025-08-14
ACC0000316,CUST000322,CHECKING,ACTIVE,63386.13,63386.13,2016-12-05
ACC0000317,CUST000133,SAVINGS,ACTIVE,143668.69,143668.69,2026-04-26
ACC0000318,CUST000463,CHECKING,ACTIVE,60442.99,60442.99,2021-06-11
ACC0000319,CUST000071,SAVINGS,ACTIVE,214439.14,214439.14,2020-10-20
ACC0000320,CUST000348,SAVINGS,ACTIVE,110438.16,89392.4,2020-03-09
ACC0000321,CUST000166,CHECKING,ACTIVE,188914.65,188914.65,2019-05-07
